File Name,num_detection_circle,diameters,num_detection_square,wwtp_area_square
0.png,0,0,0,[0]
1.png,0,[],3,[     2770.1      2974.1      579.13]
2.png,0,0,0,[0]
3.png,0,0,0,[0]
4.png,0,[],7,[     9107.7      1767.3      4108.1      2631.7      249.62      2660.3      1553.4]
5.png,0,0,0,[0]
6.png,0,0,0,[0]
7.png,2,[     45.302      45.302],0,[]
8.png,2,[     58.712      58.246],2,[      11236      1673.2]
9.png,3,[     44.899      44.247      39.727],4,[     3396.3      3246.5      2082.6      571.99]
10.png,0,[],1,[     1648.9]
11.png,0,[],5,[      19980       37542       19635       19950      757.43]
12.png,0,[],5,[      12681       21175       10441       12525       49531]
13.png,0,[],4,[     1733.1      785.96       405.1      760.28]
14.png,0,0,0,[0]
15.png,0,[],3,[     1763.1      1614.7      1763.1]
16.png,1,[     26.477],1,[     1270.9]
17.png,11,[     61.418      61.875      60.913      62.299      60.058      45.081      45.382      45.081      45.761       44.96      23.994],4,[     3209.4      781.68        8336      948.57]
18.png,0,[],5,[       1522      1530.5      617.64      649.02      527.78]
19.png,6,[     41.581      41.559      41.076      41.581      41.559      41.076],7,[     6949.5       13568      1559.1       23935       32259       12888      8087.8]
20.png,3,[     27.881      27.684      28.967],2,[     1693.2      1463.5]
21.png,0,[],2,[     5096.6      310.96]
22.png,0,[],4,[     1202.5      1278.1      1279.5      122.67]
23.png,13,[     43.939      44.411       34.04       33.96      36.237      19.898       21.18      19.201      25.212       35.96      15.067      24.333      36.237],6,[     708.93      7254.8      358.03      310.96      259.61      358.03]
24.png,0,[],1,[     292.42]
25.png,2,[     37.201      42.296],2,[     1064.1      629.05]
26.png,0,0,0,[0]
27.png,0,0,0,[0]
28.png,4,[     22.591      22.062      23.381      14.326],0,[]
29.png,6,[     49.461      26.236      28.683      28.172       26.34      42.124],2,[     365.16      308.11]
30.png,0,0,0,[0]
31.png,0,0,0,[0]
32.png,0,0,0,[0]
33.png,0,0,0,[0]
34.png,0,0,0,[0]
35.png,0,0,0,[0]
36.png,0,0,0,[0]
37.png,0,[],6,[     2228.1      1392.2      2678.8      8073.5      902.92      3944.1]
38.png,1,[     14.824],1,[     1636.1]
39.png,7,[     40.721      41.009      40.921      41.009      20.965      22.267      22.551],1,[     693.24]
40.png,5,[     36.161      36.212       37.42      37.396      23.881],1,[     9358.7]
41.png,0,[],1,[     3424.8]
42.png,2,[     66.323        34.2],1,[     4712.9]
43.png,2,[     22.591      21.393],3,[     1767.3      894.37       405.1]
44.png,8,[     50.837      51.069      51.158      50.909      40.497       40.81      40.899       41.23],3,[     945.72      4140.9      333.78]
45.png,4,[     30.404      30.014      30.285      29.953],1,[     179.73]
46.png,1,[     35.579],2,[        950      6939.5]
47.png,4,[     55.483      54.924      55.221       26.34],3,[     1041.3      4965.4      1687.5]
48.png,7,[     56.473      56.215      56.183      55.891      26.201      19.436      13.611],7,[     425.07       405.1      1466.4      1293.8      510.66      606.23      1340.8]
49.png,7,[     51.705      51.564       51.67      51.441      38.094       37.95      47.226],3,[     2356.4      1333.7      2750.1]
50.png,2,[     44.062       43.23],4,[     6433.2      621.92      165.46      1653.2]
51.png,0,[],1,[     741.74]
52.png,6,[     42.467      40.854      42.424      56.634      56.826      57.001],2,[      453.6      3503.3]
53.png,11,[     68.611      68.823      50.766       69.27      67.248       51.14      50.819      51.246      26.512      33.799      35.039],0,[]
54.png,0,0,0,[0]
55.png,0,[],1,[       5951]
56.png,1,[     29.092],2,[     326.65      326.65]
57.png,0,0,0,[0]
58.png,0,0,0,[0]
59.png,0,0,0,[0]
60.png,0,0,0,[0]
61.png,0,[],1,[     1711.7]
62.png,0,0,0,[0]
