WASTE_ID,LAT_WWTP,LON_WWTP,POP_SERVED,geometry
39791,-9.947,-67.83,7082,"POLYGON ((-67.74016847158805 -10.0354691617077, -67.74016847158805 -9.85850687522952, -67.91983152841195 -9.85850687522952, -67.91983152841195 -10.0354691617077, -67.74016847158805 -10.0354691617077))"
39794,-9.931,-67.791,103629,"POLYGON ((-67.70116847158803 -10.019473509973823, -67.70116847158803 -9.842502563950745, -67.88083152841195 -9.842502563950745, -67.88083152841195 -10.019473509973823, -67.70116847158803 -10.019473509973823))"
39872,-13.266,-50.183,5649,"POLYGON ((-50.093168471588044 -13.353418632872964, -50.093168471588044 -13.178549910067655, -50.272831528411956 -13.178549910067655, -50.272831528411956 -13.353418632872964, -50.093168471588044 -13.353418632872964))"
39874,-11.506,-54.863,6754,"POLYGON ((-54.77316847158805 -11.594012460086333, -54.77316847158805 -11.417960010512779, -54.95283152841195 -11.417960010512779, -54.95283152841195 -11.594012460086333, -54.77316847158805 -11.594012460086333))"
39875,-10.78,-55.471,11757,"POLYGON ((-55.38116847158804 -10.868233262749548, -55.38116847158804 -10.691740859129183, -55.56083152841195 -10.691740859129183, -55.56083152841195 -10.868233262749548, -55.38116847158804 -10.868233262749548))"
39880,-11.271,-57.526,13010,"POLYGON ((-57.43616847158805 -11.359085479794814, -57.43616847158805 -11.182887523425286, -57.61583152841195 -11.182887523425286, -57.61583152841195 -11.359085479794814, -57.43616847158805 -11.359085479794814))"
39881,-11.406,-58.756,32539,"POLYGON ((-58.66616847158806 -11.494043713258357, -58.66616847158806 -11.317928983763643, -58.845831528411956 -11.317928983763643, -58.845831528411956 -11.494043713258357, -58.66616847158806 -11.494043713258357))"
39882,-13.045,-55.912,9601,"POLYGON ((-55.82216847158805 -13.132497736832645, -55.82216847158805 -12.957471293081838, -56.00183152841195 -12.957471293081838, -56.00183152841195 -13.132497736832645, -55.82216847158805 -13.132497736832645))"
39885,-14.66,-52.341,10011,"POLYGON ((-52.25116847158805 -14.74688976041956, -52.25116847158805 -14.57307575515738, -52.43083152841195 -14.57307575515738, -52.43083152841195 -14.74688976041956, -52.25116847158805 -14.74688976041956))"
39887,-12.538,-55.71,5515,"POLYGON ((-55.620168471588045 -12.625674292524733, -55.620168471588045 -12.450295861481736, -55.79983152841195 -12.450295861481736, -55.79983152841195 -12.625674292524733, -55.620168471588045 -12.625674292524733))"
39891,-14.592,-57.47,12332,"POLYGON ((-57.38016847158805 -14.678916754275903, -57.38016847158805 -14.50504890714073, -57.55983152841195 -14.50504890714073, -57.55983152841195 -14.678916754275903, -57.38016847158805 -14.678916754275903))"
39893,-11.342,-62.292,8189,"POLYGON ((-62.20216847158804 -11.430063574610667, -62.20216847158804 -11.253909267496754, -62.38183152841195 -11.253909267496754, -62.38183152841195 -11.430063574610667, -62.20216847158804 -11.430063574610667))"
39896,-18.303,-51.154,2009,"POLYGON ((-51.06416847158805 -18.388265840267948, -51.06416847158805 -18.217692166830883, -51.24383152841195 -18.217692166830883, -51.24383152841195 -18.388265840267948, -51.06416847158805 -18.388265840267948))"
39897,-15.091,-50.644,3715,"POLYGON ((-50.55416847158804 -15.17771582406811, -50.55416847158804 -15.004248771694845, -50.73383152841195 -15.004248771694845, -50.73383152841195 -15.17771582406811, -50.55416847158804 -15.17771582406811))"
39898,-14.897,-51.058,2679,"POLYGON ((-50.96816847158805 -14.983794723086765, -50.96816847158805 -14.810170285719893, -51.147831528411956 -14.810170285719893, -51.147831528411956 -14.983794723086765, -50.96816847158805 -14.983794723086765))"
39899,-15.227,-51.167,4437,"POLYGON ((-51.07716847158805 -15.313659920969538, -51.07716847158805 -15.140304386203908, -51.25683152841195 -15.140304386203908, -51.25683152841195 -15.313659920969538, -51.07716847158805 -15.313659920969538))"
39900,-18.567,-51.113,11110,"POLYGON ((-51.02316847158804 -18.65213468959767, -51.02316847158804 -18.481822798338033, -51.20283152841195 -18.481822798338033, -51.20283152841195 -18.65213468959767, -51.02316847158804 -18.65213468959767))"
39901,-16.949,-51.797,12180,"POLYGON ((-51.70716847158804 -17.034909995260875, -51.70716847158804 -16.863050729597497, -51.886831528411946 -16.863050729597497, -51.886831528411946 -17.034909995260875, -51.70716847158804 -17.034909995260875))"
39904,-16.457,-51.145,7188,"POLYGON ((-51.05516847158805 -16.543132203286333, -51.05516847158805 -16.37082953117152, -51.23483152841195 -16.37082953117152, -51.23483152841195 -16.543132203286333, -51.05516847158805 -16.543132203286333))"
39906,-15.843,-50.869,12668,"POLYGON ((-50.77916847158804 -15.929400607119428, -50.77916847158804 -15.756562403081777, -50.95883152841195 -15.756562403081777, -50.95883152841195 -15.929400607119428, -50.77916847158804 -15.929400607119428))"
39909,-17.434,-51.17,4648,"POLYGON ((-51.08016847158805 -17.51968475276369, -51.08016847158805 -17.34827498819579, -51.25983152841195 -17.34827498819579, -51.25983152841195 -17.51968475276369, -51.08016847158805 -17.51968475276369))"
39910,-16.959,-50.417,8216,"POLYGON ((-50.327168471588045 -17.044905413140555, -50.327168471588045 -16.873055291316604, -50.50683152841195 -16.873055291316604, -50.50683152841195 -17.044905413140555, -50.327168471588045 -17.044905413140555))"
39911,-18.469,-50.468,39519,"POLYGON ((-50.37816847158805 -18.554183585251014, -50.37816847158805 -18.383774094985355, -50.55783152841195 -18.383774094985355, -50.55783152841195 -18.554183585251014, -50.37816847158805 -18.554183585251014))"
39912,-17.83,-50.913,89502,"POLYGON ((-50.82316847158805 -17.915496292897455, -50.82316847158805 -17.74446265325771, -51.002831528411946 -17.74446265325771, -51.002831528411946 -17.915496292897455, -50.82316847158805 -17.915496292897455))"
39913,-17.812,-50.546,36271,"POLYGON ((-50.45616847158805 -17.8975049478605, -50.45616847158805 -17.72645403425311, -50.635831528411956 -17.72645403425311, -50.635831528411956 -17.8975049478605, -50.45616847158805 -17.8975049478605))"
39917,-19.744,-50.2,34377,"POLYGON ((-50.11016847158805 -19.82852804052238, -50.11016847158805 -19.659427177349695, -50.28983152841195 -19.659427177349695, -50.28983152841195 -19.82852804052238, -50.11016847158805 -19.82852804052238))"
39923,-23.126,-55.212,1587,"POLYGON ((-55.12216847158805 -23.2085875099426, -55.12216847158805 -23.043361618483956, -55.30183152841195 -23.043361618483956, -55.30183152841195 -23.2085875099426, -55.12216847158805 -23.2085875099426))"
39933,-22.127,-56.533,4983,"POLYGON ((-56.44316847158804 -22.21019095155441, -56.44316847158804 -22.04375990555141, -56.62283152841194 -22.04375990555141, -56.62283152841194 -22.21019095155441, -56.44316847158804 -22.21019095155441))"
39939,-20.48,-54.717,66665,"POLYGON ((-54.62716847158805 -20.564130562977475, -54.62716847158805 -20.39582327355155, -54.80683152841195 -20.39582327355155, -54.80683152841195 -20.564130562977475, -54.62716847158805 -20.564130562977475))"
39947,-18.994,-57.644,6285,"POLYGON ((-57.55416847158804 -19.07891874150384, -57.55416847158804 -18.909037914385785, -57.733831528411955 -18.909037914385785, -57.733831528411955 -19.07891874150384, -57.55416847158804 -19.07891874150384))"
39950,-22.204,-54.795,9728,"POLYGON ((-54.705168471588046 -22.287145336456742, -54.705168471588046 -22.12080538525493, -54.88483152841195 -22.12080538525493, -54.88483152841195 -22.287145336456742, -54.705168471588046 -22.287145336456742))"
39951,-22.246,-54.8,33915,"POLYGON ((-54.71016847158804 -22.329120392251934, -54.71016847158804 -22.16283025575836, -54.889831528411946 -22.16283025575836, -54.889831528411946 -22.329120392251934, -54.71016847158804 -22.329120392251934))"
