Identification de l'installation/ Facility Identification,Nom du propriétaire/ Owner Name,Nom du système / System Name,Ville/ City,Province (Anglais)/ Province (English),Province (Français) / Province (French),Code postal/ Postal Code,Type de propriétaire (Anglais) / Owner Type (English),Type de propriétaire (Français)/ Owner Type (French),Type d'exploitant (Anglais)/ Operator Type (English),Type d'exploitant  (Français) / Operator Type (French),Volume journalier moyen de l'effluent (m3) / Average Daily Effluent Volume (m3),Méthode de calcul (Anglais) / Method of Calculation (English),Méthode de calcul  (Français)/ Method of Calculation (French),Description de la méthode de calcul/ Description of Calculation Method ,Indicateur - Utilisation de chlore (Anglais)/ Chlorine Use Indicator (English),Indicateur - Utilisation de chlore (Français) / Chlorine Use Indicator (French),Type du système (Anglais)/ System Type (English),Type du système (Français)/ System Type (French),Types de traitement (Anglais)/ Treatment Types (English),Types de traitement (Français)/ Treatment Types (French),Description des autres traitements / Other Treatment Description,Description du lieu de rejet (Anglais) / Discharge Place Description (English),Description du lieu de rejet (Français) / Discharge Place Description (French),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Anglais)/ Is the hydraulic retention time 5 days or more? (English),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Français) / Is the hydraulic retention time 5 days or more? (French),Fréquence de reportage (Anglais)/ Reporting Frequency (English),Fréquence de reportage (Français) / Reporting Frequency (French),Périodes decalcul (Anglais)/ Averaging Period (English),Périodes de calcul (Français) / Averaging Period (French),Latitude/ Latitude,Longitude/ Longitude,Statut de Vérification du point (Anglais)/ Verification status of the point (English),Statut de Vérification du point (Français)/ Verification status of the point (French),Type de point (Anglais)/ Type of Point (English),Type de point (Français) / Type of Point (French),Nom de la masse d'eau fréquentée par les poissons/ Name of body of water frequented by fish,Nom de la masse d'eau au point d'entrée/ Name of the water at point of entry, Description de l'utilisation de l'eau (Anglais)/ Description of use of water (English),Description de l'utilisation de l'eau (Français)/ Description of use of water (French),Description des eaux fréquentées par les poisons (Anglais) / Description of water frequented by fish (English),Description des eaux fréquentées par les poisons (Français)/ Description of water frequented by fish (French),État du système (Anglais)/ System status (English),État du système (Français)/ System status (French)
58965,Alberta Health Services,Centennial Centre for Mental Health and Brain Injury,Ponoka,Alberta,Alberta,T5J 1R8,Other,Autre,Provincial,Provincial,290,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,"Lagoon Aerated, Storage Ponds","Étangs Aérée, Bassins de stockage",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,52.6625,-113.5824,Verified,Vérifié,Final Discharge Point,Point de rejet final,Battle River,Battle River,Other,Autre,Other,Autre,operational,opérationnel
24531,Alberta Infrastructure (GOA),Evan-Thomas Valley Wastewater Treatment Plant,Kananaskis,Alberta,Alberta,T0L 2H0,Provincial,Provincial,Other,Autre,433.5,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Primary Sedimentation Clarification, Skimming, Other Treatment Type, Disinfection","Dégrillage, Sédimentation clarification primaire, Écrémage, Autres types de traitement, Désinfection",Membrane Bioreactor (MBR),Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,50.9137,-115.1418,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
26886,Alexander pw,Alexander lagoon AB,Morinville,Alberta,Alberta,T8R 1S2,Indigenous,Autochtone,Indigenous,Autochtone,220,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,"Based on discharge and storage volumes as of 2005, including estimate of increase based on population growth of community",No,Non,Intermittent,Intermittent,Lagoon Aerobic,Étangs Aérobie,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,53.8108,-113.9235,Estimated,Estimé,Final Discharge Point,Point de rejet final,Sturgeon River,Riviere Qui Barre River,Other,Autre,Watercourse with bulk flow ratio < 10,Cours d'eau avec un coefficient de débit brut < 10,operational,opérationnel
26885,Alexis Nakota-Sioux Nation Public Works,Alexis Lagoon,Glenevis,Alberta,Alberta,T0E 0X0,Indigenous,Autochtone,Indigenous,Autochtone,200,Determined on the basis of the system's average design rate of influent flow,Déterminé à partir du débit de conception moyen d'affluent de ce système,,No,Non,Intermittent,Intermittent,"Lagoon Aerobic, Lagoon Facultative, Storage Ponds","Étangs Aérobie, Étangs Facultative, Bassins de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,53.7441,-114.4707,Verified,Vérifié,Final Discharge Point,Point de rejet final,Lac St Anne,Lac St Anne,Other,Autre,Natural lake,Lac naturel,operational,opérationnel
24332,Aquatera Utilities Inc.,Aquatera Airport Wastewater Lagoon,Grande Praire,Alberta,Alberta,T8V 7Z9,Other,Autre,Other,Autre,300,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,"Lagoon Anaerobic, Lagoon Facultative, Storage Ponds","Étangs Anaérobie, Étangs Facultative, Bassins de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,55.1719,-118.8845,Verified,Vérifié,Final Discharge Point,Point de rejet final,Bear Creek then ultimately the Wapiti River,Drainage ditch into a slough,Contact recreational (e.g. swimming),Contact récréatif (baignade),Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
23700,Aquatera Utilities Inc.,Aquatera Clairmont Wastewater Lagoon,Hamlet of Clairmont,Alberta,Alberta,T0H0W0,Other,Autre,Other,Autre,1289,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,"Lagoon Aerated, Lagoon Anaerobic, Lagoon Facultative","Étangs Aérée, Étangs Anaérobie, Étangs Facultative",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,55.2667,-118.8429,Verified,Vérifié,Final Discharge Point,Point de rejet final,Ferguson Creek,Ferguson Creek,Other,Autre,Watercourse with bulk flow ratio < 10,Cours d'eau avec un coefficient de débit brut < 10,operational,opérationnel
23690,Aquatera Utilities Inc.,Aquatera Grande Prairie WWTP (and Landfill),Grande Prairie,Alberta,Alberta,T8W 2R6,Other,Autre,Other,Autre,21056,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation Clarification, Skimming, Activated Sludge, Rotating Biological Contactor, Biological Nutrient Removal Nitrogen And Phosphorus, Polishing Ponds","Dessablage, Dégrillage, Sédimentation clarification primaire, Écrémage, Boues activées, Contacteur biologique rotatif,Élimination biologique des nutriments nutritifs (azote et phosphore), Polishing Ponds",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,55.1279,-118.7967,Verified,Vérifié,Final Discharge Point,Point de rejet final,Wapiti River,Wapiti River,Drinking water source,Source d'eau potable,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
23701,Aquatera Utilities Inc.,Aquatera Sexsmith WasteWater Lagoon,Town of Sexsmith,Alberta,Alberta,T0H3C0,Other,Autre,Other,Autre,400,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,"Lagoon Anaerobic, Lagoon Facultative, Lagoon Non Aerated","Étangs Anaérobie, Étangs Facultative,Étangs Non aérée",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,55.3254,-118.7493,Verified,Vérifié,Final Discharge Point,Point de rejet final,Smoky River,Drainage ditch then travels to unnamed creek,Other,Autre,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
23585,Aquatera Utilities Inc.,Wembley Lagoon,Wembley,Alberta,Alberta,T0H 3S0,Other,Autre,Other,Autre,365,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,Lagoon Anaerobic,Étangs Anaérobie,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,55.1625,-119.1309,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,Other,Autre,Natural wetland,Milieu humide naturel,operational,opérationnel
9376,ARROW Utilities,ARROW Utilities Wastewater Treatment Plant,Fort Saskatchewan,Alberta,Alberta,T8L4A2,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,76160,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation Clarification, Skimming, Activated Sludge, Biological Nitrogen Removal Nitrification And Denitrification, Biological Phosphorus Removal, Biological Nutrient Removal Nitrogen And Phosphorus, Chemical Precipitation Phosphorus, Disinfection","Dessablage, Dégrillage, Floculation chimique, Sédimentation clarification primaire, Écrémage, Boues activées,Élimination biologique de l'azote – Nitrification et dénitrification, Élimination biologique du phosphore,Élimination biologique des nutriments nutritifs (azote et phosphore), Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,53.6331,-113.308,Verified,Vérifié,Final Discharge Point,Point de rejet final,North Saskatchewan River,,Drinking water source,Source d'eau potable,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
