HW_unique_ID,HW_2014_ORG_ID,CWNS_2016_ID,CWNS_2022_ID,new since 2014,closed since 2014,Latitude,Longitude,Facility_Name,HW POP 2014,EPA POP 2016,EPA POP 2022,EPA Treated POP 2022,EPA POP TYPE 2022
24972,1000002001,1000002001,1000002001,,,32.8859,-87.7404,AKRON LAGOON,356.0,356.0,225.0,225.0,Receiving Collection
24973,1000003001,1000003001,1000003001,,,33.2534,-86.8154,ALABASTER WWTP,30800.0,30800.0,32340.0,32340.0,Receiving Collection
24974,1000004001,1000004001,1000004001,,,32.9014,-85.9514,ALEXANDER CITY SUGAR CREEK WWTP,12201.0,12201.0,11590.0,11590.0,Receiving Collection
24975,1000004002,1000004002,1000004002,,,32.9299,-85.882,ALEXANDER CITY COLEY CREEK WWTP,12201.0,12201.0,12811.0,12811.0,Receiving Collection
24976,1000005001,1000005001,1000005001,,,34.0379,-86.3318,ALTOONA LAGOON,586.0,586.0,948.0,948.0,Receiving Collection
24977,1000006004,1000006004,1000006004,,,31.305806,-86.522278,ANDALUSIA RIVERSIDE WWTP,9000.0,9000.0,8715.0,8715.0,Receiving Collection
24978,1000007001,1000007001,1000007001,,,33.6032,-85.8293,ANNISTON CHOCCOLOCCO WWTP,22709.0,22709.0,21916.0,21916.0,Receiving Collection
24979,1000007002,1000007002,1000007002,,,33.7274,-85.8067,ANNISTON FT. MCCLELLAN WWTP,22600.0,22600.0,13000.0,13000.0,Receiving Collection
24980,1000009001,1000009001,1000009001,,,34.2919,-86.4944,ARAB RILEY MAZE CREEK WWTP,4025.0,4025.0,4249.0,4249.0,Receiving Collection
24981,1000009002,1000009002,1000009002,,,34.2919,-86.4944,ARAB GILLIAM CREEK WWTP,4025.0,4025.0,4249.0,4249.0,Receiving Collection
24982,1000010001,1000010001,1000010001,,,34.9856,-86.8529,ARDMORE WWTP,2308.0,2308.0,9560.0,9560.0,Receiving Collection
24983,1000011001,1000011001,1000011001,,,31.1734,-85.2447,ASHFORD WWTP,1397.0,1397.0,1467.0,1467.0,Receiving Collection
24984,1000012001,1000012001,1000012001,,,34.8302,-86.9652,ATHENS WWTP,24690.0,24690.0,26000.0,26000.0,Receiving Collection
24985,1000013001,1000013001,1000013001,,,33.988,-86.0459,ATTALLA LAGOON,5861.0,5861.0,5827.0,5827.0,Receiving Collection
24986,1000014001,1000014001,1000014001,,,32.537526,-85.506272,AUBURN H C MORGAN WWTP,32028.0,32028.0,56049.0,56049.0,Receiving Collection
24987,1000014002,1000014002,1000014002,,,32.62767,-85.546342,AUBURN NORTHSIDE WWTP,21352.0,21352.0,22420.0,0.0,Receiving Collection
24988,1000015001,1000015001,1000015001,,,32.4327,-86.6509,AUTAUGAVILLE WWTP,750.0,750.0,850.0,850.0,Receiving Collection
24989,1000016001,1000016001,1000016001,,,30.886605,-87.76474,HARRY STILL SR. WWTP,9600.0,9600.0,22000.0,22000.0,Receiving Collection
24990,1000017001,1000017001,1000017001,,,30.384933,-88.253269,BAYOU LA BATRE WWTP,2058.0,2058.0,2920.0,2920.0,Receiving Collection
24991,1000021001,1000021001,1000021001,,,34.1858,-86.1847,BOAZ SLAB CREEK WWTP,7411.0,7411.0,9551.0,9551.0,Receiving Collection
24992,1000023001,1000023001,1000023001,,,31.0824,-87.0898,BREWTON LAGOON,7000.0,7000.0,5200.0,5200.0,Receiving Collection
24993,1000023002,1000023002,1000023002,,,31.0824,-87.0898,NORTH BREWTON LAGOON,4500.0,4500.0,4725.0,4725.0,Receiving Collection
24994,1000023390,1000023390,1000023390,,,34.85837,-86.74905,Harvest Monrovia-BURWELL ROAD WWTP,388.0,388.0,4625.0,4625.0,Receiving Collection
24995,1000027001,1000027001,1000027001,,,33.094147,-86.74438,Calera WWTP Buxahatchee Creek,6874.0,6874.0,11610.0,11610.0,Receiving Collection
24996,1000027002,1000027002,1000027002,,,33.163607,-86.709848,Calera Northside WWTP - Camp Branch,3287.0,3287.0,5840.0,5840.0,Receiving Collection
24997,1000028001,1000028001,1000028001,,,32.7876,-85.6557,CAMP HILL LAGOON,689.0,689.0,1006.0,1006.0,Receiving Collection
24998,1000029001,1000029001,1000029001,,,33.883,-87.5099,CARBON HILL WWTP,1516.0,1516.0,1730.0,1730.0,Receiving Collection
24999,1000031001,1000031001,1000031001,,,33.2548,-88.0832,CARROLLTON HCR LAGOON,888.0,888.0,998.0,998.0,Receiving Collection
25000,1000032001,1000032001,1000032001,,,34.2311,-85.6036,CEDAR BLUFF WWTP,2370.0,2370.0,3912.0,3912.0,Receiving Collection
25001,1000034001,1000034001,1000034001,,,32.9268,-87.1529,CENTREVILLE WWTP,5050.0,5050.0,7300.0,7300.0,Receiving Collection
25002,1000035001,1000035001,1000035001,,,31.4535,-88.2562,CHATOM LAGOON,716.0,716.0,1195.0,1195.0,Receiving Collection
25003,1000036001,1000036001,1000036001,,,30.761899,-88.069496,CHICKASAW LAGOON,5938.0,5938.0,6395.0,6395.0,Receiving Collection
25004,1000037001,1000037001,1000037001,,,33.2728,-86.3719,CHILDERSBURG BAILEY BR LAGOON,3323.0,3323.0,7125.0,7125.0,Receiving Collection
25005,1000037002,1000037002,1000037002,,,33.3043,-86.3465,CHILDERSBURG PINECREST LAGOON,1089.0,1089.0,2375.0,2375.0,Receiving Collection
25006,1000038001,1000038001,1000038001,,,31.0845,-88.2458,South Alabama Utilities-Citronelle WWTP,3360.0,3360.0,3528.0,3528.0,Receiving Collection
25007,1000039001,1000039001,1000039001,,,34.279,-85.8904,COLLINSVILLE LAGOON,1395.0,1395.0,2312.0,2312.0,Receiving Collection
25008,1000040001,1000040001,1000040001,,,33.1775,-86.6241,COLUMBIANA WWTP,2528.0,2528.0,4481.0,4481.0,Receiving Collection
25009,1000041001,1000041001,1000041001,,,33.7517,-87.1681,CORDOVA WWTP,1290.0,1290.0,1145.0,1145.0,Receiving Collection
25010,1000043001,1000043001,1000043001,,,34.16226,-86.815433,CULLMAN WWTP,14800.0,14800.0,18635.0,18635.0,Receiving Collection
25011,1000044001,1000044001,1000044001,,,30.6527,-87.925,DAPHNE WATER RECLAMATION FACILITY,10305.0,10305.0,12575.0,12575.0,Receiving Collection
25012,1000045001,1000045001,1000045001,,,34.62107,-86.99649,DECATUR DRY CREEK WWTP,50772.0,50772.0,57938.0,57938.0,Receiving Collection
25013,1000046001,1000046001,1000046001,,,32.5228,-87.9,DEMOPOLIS WWTP,6700.0,6700.0,10000.0,10000.0,Receiving Collection
25014,1000046002,1000046002,nan,,,32.4658,-87.9617,DEMOPOLIS AIRPORT IND PARK WWTP,200.0,200.0,,,
25015,1000048001,1000048001,1000048001,,,33.7343,-87.112,EAST WALKER COUNTY WWTP,595.0,595.0,714.0,714.0,Receiving Collection
25016,1000049002,1000049002,1000049002,,,31.2542,-85.3722,DOTHAN OMMUSSEE CREEK WWTP,14441.0,14441.0,15163.0,15163.0,Receiving Collection
25017,1000049005,1000049005,1000049005,,,31.2533,-85.5043,DOTHAN LITTLE CHOCTAWHATCHEE WWTP,44127.0,44127.0,43034.0,43034.0,Receiving Collection
25018,1000050001,1000050001,1000050001,,,34.1436,-87.4179,DOUBLE SPRINGS WWTP,761.0,761.0,1076.0,1076.0,Receiving Collection
25019,1000051001,1000051001,1000051001,,,32.629094,-86.025844,ECLECTIC LAGOON & SPRAYFIELD,550.0,550.0,1184.0,1184.0,Receiving Collection
25020,1000054002,1000054002,1000054002,,,31.3008,-85.8811,Enterprise College WWTP,8598.0,8598.0,10000.0,10000.0,Receiving Collection
25021,1000054003,1000054003,nan,,,31.3058,-85.8036,ENTERPRISE WWTP #3 (SE),6290.0,6290.0,,,
25022,1000054004,1000054004,1000054004,,,31.3397,-85.8111,Enterprise Northeast WWTP,6290.0,6290.0,20000.0,20000.0,Receiving Collection
25023,1000055004,1000055004,1000055004,,,32.8218,-87.8798,EUTAW LAGOON,3250.0,3250.0,2937.0,2937.0,Receiving Collection
25024,1000057001,1000057001,1000057001,,,30.53,-87.9043,FAIRHOPE WWTP,13995.0,13995.0,36000.0,36000.0,Receiving Collection
25025,1000058001,1000058001,1000058001,,,33.672,-87.8201,Fayette WWTP,4612.0,4612.0,5000.0,5000.0,Receiving Collection
25026,1000060001,1000060001,1000060001,,,31.0085,-87.2512,FLOMATON LAGOON,1340.0,1340.0,1440.0,1440.0,Receiving Collection
25027,1000061001,1000061001,1000061001,,,31.1144,-85.4183,DOTHAN CYPRESS CREEK WWTP,9881.0,9881.0,9716.0,9716.0,Receiving Collection
25028,1000062001,1000062001,1000062001,,,30.4014,-87.6617,Foley-Riviera Utilities WWTP,12880.0,12880.0,22063.0,22063.0,Receiving Collection
25029,1000064001,1000064001,1000064001,,,31.9746,-86.5925,FORT DEPOSIT LAGOON,1120.0,1120.0,1093.0,1093.0,Receiving Collection
25030,1000065001,1000065001,1000065001,,,34.4294,-85.7674,FORT PAYNE WWTP,8700.0,8700.0,14877.0,14877.0,Receiving Collection
25031,1000067001,1000067001,1000067001,,,33.990232,-86.035837,GADSDEN WEST WWTP,22573.0,22573.0,22780.0,22780.0,Receiving Collection
25032,1000067002,1000067002,1000067002,,,33.967945,-85.972499,GADSDEN EAST WWTP,10300.0,10300.0,12444.0,12444.0,Receiving Collection
25033,1000068001,1000068001,1000068001,,,34.0021,-86.7481,Garden City Lagoon,365.0,365.0,534.0,534.0,Receiving Collection
25034,1000070001,1000070001,1000070001,,,33.9483,-85.9561,Glencoe Lagoon,2354.0,2354.0,5412.0,5412.0,Receiving Collection
25035,1000071001,1000071001,1000071001,,,33.0418,-86.0475,GOODWATER LAGOON,916.0,916.0,1261.0,1261.0,Receiving Collection
25036,1000072001,1000072001,1000072001,,,33.641555,-86.952295,Jefferson County-Prudes Creek WWTP,24999.0,24999.0,26249.0,26249.0,Receiving Collection
25037,1000073001,1000073001,1000073001,,,32.7231,-87.5971,Greensboro Lagoon,2499.0,2499.0,3150.0,3150.0,Receiving Collection
25038,1000074001,1000074001,1000074001,,,30.2766,-87.6666,GULF SHORES WWTP,34500.0,34500.0,15736.0,15736.0,Receiving Collection
25039,1000075001,1000075001,1000075001,,,34.696,-86.3792,GURLEY WWTP,762.0,762.0,816.0,816.0,Receiving Collection
25040,1000076101,1000076101,nan,,,31.6833,-87.218,Beatrice WWTP,50.0,50.0,,,
